ISIN,MATURITYDATE,ISSUEDATE,COUPONRATE,PRICE,ACCRUED,TODAY
DE0001141414,2008-02-15,2002-08-14,0.0425,100.002,4.087,2008-01-30
DE0001137131,2008-03-14,2006-03-08,0.03,99.92,2.6557,2008-01-30
DE0001141422,2008-04-11,2003-04-11,0.03,99.805,2.4262,2008-01-30
DE0001137149,2008-06-13,2006-05-30,0.0325,99.75,2.069,2008-01-30
DE0001135093,2008-07-04,1998-07-04,0.04125,100.065,2.3893,2008-01-30
DE0001135077,2008-07-04,1998-07-04,0.0475,100.305,2.7514,2008-01-30
DE0001137156,2008-09-12,2006-08-30,0.035,99.76,1.3579,2008-01-30
DE0001141430,2008-10-10,2003-09-25,0.035,99.75,1.0902,2008-01-30
DE0001137164,2008-12-12,2006-11-30,0.0375,99.975,0.5225,2008-01-30
DE0001135101,2009-01-04,1999-01-04,0.0375,100.0416,0.2869,2008-01-30
DE0001137172,2009-03-13,2007-02-28,0.0375,100.0574,3.3299,2008-01-30
DE0001141448,2009-04-17,2004-02-02,0.0325,99.5049,2.5751,2008-01-30
DE0001137180,2009-06-12,2007-05-30,0.045,101.0971,2.877,2008-01-30
DE0001135127,2009-07-04,1999-07-04,0.045,101.137,2.6066,2008-01-30
DE0001135119,2009-07-04,1999-03-24,0.04,100.4673,2.3169,2008-01-30
DE0001137198,2009-09-11,2007-08-24,0.04,100.7199,1.5628,2008-01-30
DE0001141455,2009-10-09,2004-08-25,0.035,99.8883,1.0997,2008-01-30
DE0001137206,2009-12-11,2007-09-21,0.04,100.908,0.5683,2008-01-30
DE0001135135,2010-01-04,1999-10-22,0.05375,103.3553,0.4112,2008-01-30
DE0001141463,2010-04-09,2005-02-24,0.0325,99.5034,2.6462,2008-01-30
DE0001135150,2010-07-04,2000-05-05,0.0525,103.913,3.041,2008-01-30
DE0001141471,2010-10-08,2005-08-26,0.025,97.4229,0.7923,2008-01-30
DE0001135168,2011-01-04,2000-09-29,0.0525,104.5636,0.4016,2008-01-30
DE0001141489,2011-04-08,2006-02-26,0.035,99.7527,2.8593,2008-01-30
DE0001135184,2011-07-04,2001-05-23,0.05,104.3708,2.8962,2008-01-30
DE0001141497,2011-10-14,2006-08-30,0.035,99.6051,1.0519,2008-01-30
DE0001135192,2012-01-04,2001-12-28,0.05,104.8603,0.3825,2008-01-30
DE0001141505,2012-04-13,2007-02-28,0.04,101.3415,3.3661,2008-01-30
DE0001135200,2012-07-04,2002-06-26,0.05,105.29,2.8962,2008-01-30
DE0001141513,2012-10-12,2007-08-24,0.0425,102.4969,1.4631,2008-01-30
DE0001135218,2013-01-04,2002-12-31,0.045,103.7602,0.3443,2008-01-30
DE0001135234,2013-07-04,2003-06-24,0.0375,100.2803,2.1721,2008-01-30
DE0001135242,2014-01-04,2003-10-21,0.0425,102.6046,0.3251,2008-01-30
DE0001135259,2014-07-04,2004-04-25,0.0425,102.5291,2.4617,2008-01-30
DE0001135267,2015-01-04,2004-10-27,0.0375,99.4748,0.2869,2008-01-30
DE0001135283,2015-07-04,2005-04-28,0.0325,95.9702,1.8825,2008-01-30
DE0001135291,2016-01-04,2005-10-30,0.035,97.1815,0.2678,2008-01-30
DE0001134468,2016-06-20,1986-06-20,0.06,114.2849,3.7049,2008-01-30
DE0001135309,2016-07-04,2006-04-26,0.04,100.2847,2.3169,2008-01-30
DE0001134492,2016-09-20,1986-09-20,0.05625,112.23,2.0594,2008-01-30
DE0001135317,2017-01-04,2006-10-31,0.0375,98.397,0.2869,2008-01-30
DE0001135333,2017-07-04,2007-04-27,0.0425,102.0235,2.9262,2008-01-30
DE0001135341,2018-01-04,2007-09-21,0.04,99.8483,0.8415,2008-01-30
DE0001134922,2024-01-04,1993-12-29,0.0625,121.2711,0.4781,2008-01-30
DE0001135044,2027-07-04,1997-07-03,0.065,125.9157,3.765,2008-01-30
DE0001135069,2028-01-04,1998-01-04,0.05625,114.5791,0.4303,2008-01-30
DE0001135085,2028-07-04,1998-10-07,0.0475,103.2202,2.7514,2008-01-30
DE0001135143,2030-01-04,2000-01-04,0.0625,123.4668,0.4781,2008-01-30
DE0001135176,2031-01-04,2000-10-27,0.055,113.4694,0.4208,2008-01-30
DE0001135226,2034-07-04,2003-01-22,0.0475,103.1873,2.7514,2008-01-30
DE0001135275,2037-01-04,2004-12-24,0.04,91.5603,0.306,2008-01-30
DE0001135325,2039-07-04,2006-12-28,0.0425,95.4441,4.3081,2008-01-30
